Variable / Field Name,Form Name,Form Display Name,Section Header (defunct),Allow,multipleChoice,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,version
agoraphobia_title,agoraphobia,Agoraphobia,,,,markdown-message,## Agoraphobia,,,,,,,,,,,,,,
cagr0,agoraphobia,Agoraphobia,Symptoms,,,markdown-message,### Symptoms\r\n\r\nEarlier you said that you have been very nervous or afraid of (list endorsed fears).  I'd now like to ask you more about (that/those).,,,,,,,,,,,,,,
dcagr001,agoraphobia,Agoraphobia,,autoAdvance,,radio,Have you ever been very afraid of? \r\n\r\n 1) Riding in a car?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcagr001,,,
dcagr002,agoraphobia,Agoraphobia,,autoAdvance,,radio,"2) Riding in a bus, train or subway?","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcagr001,,,
dcagr003,agoraphobia,Agoraphobia,,autoAdvance,,radio,3) Going over bridges or through tunnels?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcagr001,,,
dcagr004,agoraphobia,Agoraphobia,,autoAdvance,,radio,4) Being far from home or leaving familiar places?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcagr001,,,
dcagr005,agoraphobia,Agoraphobia,,autoAdvance,,radio,5) Being in the house alone? (For younger children: Being alone in a room or in a different part of the house from your parents.),"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcagr001,,,
dcagr006,agoraphobia,Agoraphobia,,,,notes,Describe (house alone):,,,,,,,[dcagr005] = '1',,LH,,,,,
dcagr007,agoraphobia,Agoraphobia,,autoAdvance,,radio,6)  Being in a room alone?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcagr007,,,
dcagr008,agoraphobia,Agoraphobia,,autoAdvance,,radio,"7) Going outside of your house by yourself (i.e., to play)? \r\n\r\n _INTERVIEWER: Code NO if due to separation anxiety._","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcagr007,,,
dcagr009,agoraphobia,Agoraphobia,,,,notes,Describe (going outside house alone):,,,,,,,[dcagr008] = '1',,LH,,,,,
dcagr010,agoraphobia,Agoraphobia,,autoAdvance,,radio,8) Being in crowds or crowded places?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcagr010,,,
dcagr011,agoraphobia,Agoraphobia,,autoAdvance,,radio,9) Standing in line in a public place?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcagr010,,,
dcagr012,agoraphobia,Agoraphobia,,autoAdvance,,radio,10) Being in stores or shopping malls?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcagr010,,,
dcagr013,agoraphobia,Agoraphobia,,autoAdvance,,radio,11) Being in classrooms or cafeteria at school?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcagr010,,,
dcagr014,agoraphobia,Agoraphobia,,autoAdvance,,radio,12) Being in a restaurant?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcagr010,,,
